placeId,name,address,priceLevel,rating,cuisine0,cuisine1,cuisine2,cuisine3,cuisine4,cuisine5,cuisine6,cuisine7,latitude,longitude,numberOfReviews,webUrl
15124176,1 Oz Coffee,"650 Castro St, Mountain View, CA 94041-2055",,5,,,,,,,,,37.3881,-122.08305,1,https://www.tripadvisor.com/Restaurant_Review-g32761-d15124176-Reviews-1_Oz_Coffee-Mountain_View_California.html
17450101,14 Spoons,"560 Wilbur Way, Stanford, CA 94305",$$ - $$$,,Contemporary,Fusion,,,,,,,37.422997,-122.16382,0,https://www.tripadvisor.com/Restaurant_Review-g1927729-d17450101-Reviews-14_Spoons-Stanford_California.html
10063515,3 Pigs BBQ,"1754 Laurel St, San Carlos, CA 94070-5221",$$ - $$$,4,Barbecue,,,,,,,,37.493614,-122.24591,22,https://www.tripadvisor.com/Restaurant_Review-g33011-d10063515-Reviews-3_Pigs_BBQ-San_Carlos_California.html
2058770,4290 Bistro,"4290 El Camino Real, Palo Alto, CA 94306-4404",$$ - $$$,3.5,American,,,,,,,,37.40569,-122.12006,15,https://www.tripadvisor.com/Restaurant_Review-g32849-d2058770-Reviews-4290_Bistro-Palo_Alto_California.html
2276057,7 Mares,"2809 Middlefield Rd, Redwood City, CA 94063-3326",,4.5,Mexican,,,,,,,,37.47613,-122.21018,4,https://www.tripadvisor.com/Restaurant_Review-g32956-d2276057-Reviews-7_Mares-Redwood_City_California.html
13842073,7-Eleven,"400 El Camino Real, Redwood City, CA 94062-1726",,4,,,,,,,,,37.49071,-122.24067,1,https://www.tripadvisor.com/Restaurant_Review-g32956-d13842073-Reviews-7_Eleven-Redwood_City_California.html
13841535,7-Eleven,"2640 California St, Mountain View, CA 94040-1206",,5,,,,,,,,,37.40648,-122.11164,1,https://www.tripadvisor.com/Restaurant_Review-g32761-d13841535-Reviews-7_Eleven-Mountain_View_California.html
13844080,7-Eleven,"1380 Pear Ave, Mountain View, CA 94043-1360",,3,,,,,,,,,37.41584,-122.07724,1,https://www.tripadvisor.com/Restaurant_Review-g32761-d13844080-Reviews-7_Eleven-Mountain_View_California.html
13843949,7-Eleven,"1700 Broadway St, Redwood City, CA 94063-2404",,3,,,,,,,,,37.48709,-122.22143,1,https://www.tripadvisor.com/Restaurant_Review-g32956-d13843949-Reviews-7_Eleven-Redwood_City_California.html
13840984,7-Eleven,"615 S Rengstorff Ave, Mountain View, CA 94040-2178",,3,,,,,,,,,37.3964,-122.10109,1,https://www.tripadvisor.com/Restaurant_Review-g32761-d13840984-Reviews-7_Eleven-Mountain_View_California.html
4978897,840 Wine Bar & Cocktail Lounge,"840 Brewster Ave, Redwood City, CA 94063-1510",,4.5,Wine Bar,,,,,,,,37.48878,-122.23432,3,https://www.tripadvisor.com/Restaurant_Review-g32956-d4978897-Reviews-840_Wine_Bar_Cocktail_Lounge-Redwood_City_California.html
1536738,888 Ristorante Italiano,"888 Laurel St, San Carlos, CA 94070-3915",$$ - $$$,4.5,Italian,Vegetarian Friendly,,,,,,,37.50259,-122.25676,37,https://www.tripadvisor.com/Restaurant_Review-g33011-d1536738-Reviews-888_Ristorante_Italiano-San_Carlos_California.html
931423,A Good Morning,"4546 El Camino Real Ste A13, Los Altos, CA 94022-1099",$,4,American,Cafe,,,,,,,37.40116,-122.11463,54,https://www.tripadvisor.com/Restaurant_Review-g32653-d931423-Reviews-A_Good_Morning-Los_Altos_California.html
2201210,A Slice of New York - Sunnyvale,"1253 W El Camino Real BevMo Plaza, Sunnyvale, CA 94087-1062",$,4.5,Pizza,Italian,,,,,,,37.375195,-122.0579,41,https://www.tripadvisor.com/Restaurant_Review-g33146-d2201210-Reviews-A_Slice_of_New_York_Sunnyvale-Sunnyvale_California.html
6847632,Aachi AappaKadai,"1105 W El Camino Real, Sunnyvale, CA 94087-1026",$$ - $$$,4,Indian,Asian,Vegetarian Friendly,Vegan Options,,,,,37.373154,-122.052765,39,https://www.tripadvisor.com/Restaurant_Review-g33146-d6847632-Reviews-Aachi_AappaKadai-Sunnyvale_California.html
